東京,入荷量(トン),　当月の平均気温(℃),　一月前の平均気温(℃),日最高気温の平均(℃),日最低気温の平均(℃),降水量の合計(mm),日照時間の合計(時間),気温max=<20かつmin=>10の日数(日)
1-Jan,1219,5.8,6.7,10.4,1.8,92.5,182,0
1-Feb,1285,5.7,5.8,10.4,1.9,62,166.9,0
1-Mar,1150,10.3,5.7,15.5,5.8,94,194.2,1
1-Apr,883,14.5,10.3,19.3,10.1,129,149.5,2
1-May,1093,21.1,14.5,26.4,16.6,88,240.6,0
1-Jun,992,22.1,21.1,26.4,18.6,195.5,137.3,0
1-Jul,704,26.2,22.1,30.1,23.2,234.5,181.8,0
1-Aug,506,26.7,26.2,30.5,23.9,103.5,137.6,0
1-Sep,676,22.6,26.7,26.4,19.8,503.5,113.3,2
1-Oct,1217,18.4,22.6,22.7,14.8,57,181.3,3
1-Nov,1348,13.9,18.4,17.8,10.7,139.5,120.1,13
1-Dec,1209,9.3,13.9,13.4,5.8,82.5,162,2
1-Jan,1000,6.1,9.3,10.6,1.8,85,201.5,0
1-Feb,1023,7.2,6.1,12.2,3.1,57,160.1,0
1-Mar,897,10.1,7.2,14.9,6.1,103,161.9,2
1-Apr,932,15.4,10.1,20.3,11.3,120,149.2,4
1-May,978,20.2,15.4,25.2,15.7,137.5,204.9,0
1-Jun,892,22.4,20.2,26.3,19.1,174.5,139.1,0
1-Jul,638,25.4,22.4,29.7,22.1,81.5,143.7,0
1-Aug,562,27.1,25.4,31.6,23.9,414,156.5,0
1-Sep,541,24.4,27.1,27.7,21.9,287,79.4,0
1-Oct,719,18.7,24.4,22.6,15.3,96.5,119.6,8
1-Nov,963,11.4,18.7,15.5,8.1,139,132.1,8
1-Dec,1310,8.9,11.4,13.8,4.5,84,193.7,0
1-Jan,1239,5.8,8.9,10.8,1.7,26,226.7,0
1-Feb,1300,6.9,5.8,12.1,2.6,15.5,193.7,0
1-Mar,1086,8.5,6.9,13.4,4.2,85.5,190.3,0
1-Apr,860,14.7,8.5,19.9,10.2,122,198.8,6
1-May,1098,20,14.7,25.1,16,49,216.9,2
1-Jun,929,22,20,26.4,18.5,106.5,158.8,1
1-Jul,701,27.3,22,31.8,24,81,189.1,0
1-Aug,514,26.4,27.3,30.4,23.4,141.5,83.7,0
1-Sep,767,22.8,26.4,26.8,19.5,209.5,124.4,0
1-Oct,1097,16.8,22.8,20.1,14.2,531.5,94.7,15
1-Nov,614,11.9,16.8,16.6,7.9,47,162.7,5
1-Dec,772,6.6,11.9,11.1,2.7,15,211.1,0
1-Jan,913,4.7,6.6,9.4,0.6,48.5,206.1,0
1-Feb,1069,5.4,4.7,10.1,1.3,20,167.3,0
1-Mar,1355,11.5,5.4,16.9,6.5,220,198,0
1-Apr,850,17,11.5,22.1,12.4,109,201.8,6
1-May,1104,19.8,17,24.6,15.4,165.5,199.3,3
1-Jun,989,22.4,19.8,26.6,19.1,155.5,163.1,3
1-Jul,588,28.3,22.4,32.7,25,107,227.2,0
1-Aug,482,28.1,28.3,32.5,24.6,86.5,217.4,0
1-Sep,589,22.9,28.1,26.6,19.9,365,96.7,3
1-Oct,930,19.1,22.9,23,15.8,61.5,139,3
1-Nov,1468,14,19.1,17.7,10.6,63,151,14
1-Dec,1212,8.3,14,12.1,4.7,44,145.3,0
1-Jan,1020,5.6,8.3,10.3,1.4,16,222.2,0
1-Feb,1180,7.2,5.6,11.6,3.3,42,138,0
1-Mar,1120,10.6,7.2,15.4,6.2,117.5,177.3,0
1-Apr,1004,13.6,10.6,19,9.2,90.5,194.4,3
1-May,1138,20,13.6,25.3,15.3,120.5,229.4,1
1-Jun,912,21.8,20,25.8,18.5,225,129.5,1
1-Jul,729,24.1,21.8,27.5,21.6,193,81.1,0
1-Aug,439,28.4,24.1,32.8,25.2,110,187.8,0
1-Sep,640,25.1,28.4,29.4,21.7,197,137.6,0
1-Oct,996,19.4,25.1,23.3,16.4,529.5,112.8,6
1-Nov,846,13.1,19.4,17.7,9.3,156.5,170.3,7
1-Dec,1020,8.5,13.1,12.6,5.2,76.5,128.6,0
